dataset,seed,step,lr,origin,later_origin,raw_forecast_revision,F0_correction_revision,F0_correction_magnitude,future_loss,F0_future_loss,adaptation_gain_percent
etth1,33000,450,3e-05,10752,10776,0.026056598911293086,0.011423134359050397,0.04049480384296603,0.2607013770223437,0.2024213399795076,-28.791449087698048
etth1,33000,450,3e-05,10944,10968,0.35256407419562763,0.05343423848400166,0.05191697008386726,0.3648579156107055,0.37407203351248,2.463193469785826
etth1,33000,450,3e-05,11136,11160,0.03987792385504803,0.007252452807847548,0.008818658241122846,0.24730581896256698,0.24510217883461272,-0.899069987232228
etth1,33000,450,3e-05,11328,11352,0.0722131935449168,0.010572681270870854,0.04643314069464467,0.21998474983012795,0.202659627420056,-8.548877065762031
etth1,33000,450,3e-05,11520,11544,0.17701065821254697,0.007753082481899949,0.011190977756223321,0.31591964697646807,0.34148182563087637,7.485662994562892
etth1,33000,450,3e-05,11712,11736,0.14636532178936992,0.07406651131995068,0.05666413602737975,0.31593433123074544,0.4376806454696339,27.816243532599888
etth1,33000,450,3e-05,11904,11928,0.04133033168284373,0.010242937133771274,0.00989927225762874,0.26754578744908636,0.2582883444911472,-3.584150487385417
etth1,33000,450,3e-05,12096,12120,0.024665411953305315,0.004789159520244839,0.027125025726434528,0.236544127276246,0.2007221227688718,-17.84656519830783
etth1,33001,150,3e-05,10752,10776,0.0326381850256374,0.0029349739765733014,0.012893090386387225,0.23027515499183315,0.2024213399795076,-13.760315495957778
etth1,33001,150,3e-05,10944,10968,0.34647937961351805,0.02251652944174399,0.013507187877579574,0.332685914233226,0.37407203351248,11.063676396934712
etth1,33001,150,3e-05,11136,11160,0.034727363255010725,0.0031587074619492633,0.00502887069199126,0.24245209701740683,0.24510217883461272,1.0812151200802165
etth1,33001,150,3e-05,11328,11352,0.06118551923469939,0.00313789338307069,0.005290590348075275,0.20356152877511824,0.202659627420056,-0.44503257335653446
etth1,33001,150,3e-05,11520,11544,0.13867621454509976,0.0097702449050954,0.00822021214733092,0.32758720157622356,0.34148182563087637,4.068920513993079
etth1,33001,150,3e-05,11712,11736,0.2898984440392013,0.005180176369654055,0.006481570619447189,0.4198725455519102,0.4376806454696339,4.068742838426291
etth1,33001,150,3e-05,11904,11928,0.04048987321985738,0.009037493189763436,0.0061448739636624635,0.27171869820655903,0.2582883444911472,-5.199752138204661
etth1,33001,150,3e-05,12096,12120,0.03172270894727598,0.0018183209173128735,0.004809864819981305,0.20456294526829943,0.2007221227688718,-1.9135023317037532
traffic,33000,450,0.0001,10752,10776,0.006128761093055721,0.005618072561747494,0.014388037922097766,0.08783107289395047,0.09781330952675797,10.20539707847913
traffic,33000,450,0.0001,10944,10968,0.0023722912903540857,0.0009296721110595667,0.0029676966294083307,0.06652213965613249,0.06767627875184692,1.705382028977085
traffic,33000,450,0.0001,11136,11160,0.01055606909763305,0.004751198491809709,0.0050969199344363895,0.07778937489801128,0.07666569839923174,-1.465683509368265
traffic,33000,450,0.0001,11328,11352,0.013171611951261483,0.010383019429682002,0.009645005095516166,0.09753593672629728,0.09778689523586391,0.25663818138546846
traffic,33000,450,0.0001,11520,11544,0.019295813683587345,0.010590187535279896,0.011839165677431854,0.13564394332993787,0.14623071584966338,7.2397734348845955
traffic,33000,450,0.0001,11712,11736,0.03337110846617659,0.010947934211685306,0.016469091538343767,0.17851465181930842,0.18507974412775985,3.547169540022471
traffic,33000,450,0.0001,11904,11928,0.02594345610005989,0.012613445942984917,0.013867955187226654,0.10306726905256657,0.10972418150048366,6.066951110396527
traffic,33000,450,0.0001,12096,12120,0.009539639576318969,0.004360975231803422,0.006702719005135349,0.0922555125018682,0.08943339273346992,-3.1555548572430614
traffic,33001,450,0.0001,10752,10776,0.008017952123673277,0.0059195103261274855,0.01260093129194447,0.08910722574256033,0.09781330952675797,8.900714868272594
traffic,33001,450,0.0001,10944,10968,0.0034664293292652106,0.0014786520192209892,0.0028257285204321605,0.06851242068755381,0.06767627875184692,-1.2355022337632102
traffic,33001,450,0.0001,11136,11160,0.00688906274339861,0.0033891054597906312,0.005368777453467758,0.07739253003411337,0.07666569839923174,-0.9480532363987624
traffic,33001,450,0.0001,11328,11352,0.005540610393644954,0.004216861767434405,0.016511667718286403,0.08862248717141792,0.09778689523586391,9.371816174694224
traffic,33001,450,0.0001,11520,11544,0.01149690462618669,0.01053999328903979,0.013458404525830454,0.1325792595071245,0.14623071584966338,9.335560086140628
traffic,33001,450,0.0001,11712,11736,0.026044740016478128,0.008665856687180977,0.015738365466698906,0.18183852273323195,0.18507974412775985,1.7512566865720842
traffic,33001,450,0.0001,11904,11928,0.013211728569371254,0.010298979232136976,0.01833241055830839,0.10243247586890143,0.10972418150048366,6.645486466034914
traffic,33001,450,0.0001,12096,12120,0.005811387231022539,0.00172582039072367,0.008904356304583578,0.09318277972239242,0.08943339273346992,-4.192379238140327
