uid,group,yaw,equivariance_defect,paired_error_penalty,canonical_baseline_error,raw_base_error
eth:171:892,eth,45.0,0.0632661569538074,-0.019098989846037695,0.2139328789415162,0.34395548048496344
eth:196:890,eth,45.0,0.016518568207260272,-0.0007290614230117121,0.22244500871226067,0.4165261927105484
eth:197:891,eth,45.0,0.06271337468290322,-0.017215765346218548,0.25651189628687004,0.4369105841514844
eth:216:930,eth,45.0,0.05489106874482386,-0.00042236685557778264,0.3043471840335393,0.28589248803228445
eth:216:950,eth,45.0,0.020482782674588296,0.0013702039749157735,0.20037612647826494,0.2554610664313274
eth:230:968,eth,45.0,0.10839031019502693,-0.09950255220838988,0.14039640203185863,0.1990936730653335
eth:231:968,eth,45.0,0.048074483340701454,-0.041501067149227376,0.12903767086313747,0.10392631311505666
eth:238:1012,eth,45.0,0.015069850543783984,-0.009304697282579877,0.5518870440351807,0.5460777396406243
eth:238:992,eth,45.0,0.04899033565081848,0.004180307692033598,0.057553100327543516,0.06118533169484985
eth:239:992,eth,45.0,0.08543719546550518,-0.03904614455898177,0.06667666875029916,0.08742510042818984
eth:257:1025,eth,45.0,0.101566585575603,-0.014992311134288505,0.1468506501878014,0.34837016534793597
eth:258:1025,eth,45.0,0.07388679439214837,-0.014969649306172533,0.15535192823802627,0.14160472651188388
eth:259:1025,eth,45.0,0.079292410890194,0.004576192885731731,0.07114461682836998,0.06506591816742661
eth:260:1026,eth,45.0,0.08301463279853236,-0.029072644735464115,0.10260350997355042,0.3170957898877167
eth:261:1028,eth,45.0,0.11292478688523269,-0.0025214179663481384,0.11181416297471945,0.3357426122146638
eth:263:1030,eth,45.0,0.012623104460121163,0.008808728626753859,0.13242101805889567,0.09990270085245169
eth:264:1030,eth,45.0,0.008609782122095665,0.004805410517304376,0.15898172682788078,0.14084684187527763
eth:265:1030,eth,45.0,0.01552359358435681,-0.00041442611693710135,0.05658714631830988,0.06146416740216838
eth:267:1030,eth,45.0,0.08986890022780752,-0.006852063118711477,0.048203317334470294,0.05794468437766522
eth:268:1030,eth,45.0,0.11500284761023025,-0.0259376843360644,0.08168364796958061,0.09932604780641774
eth:303:1069,eth,45.0,0.037795429235282445,0.02808913881038705,0.2350536825261855,0.35565603244659216
eth:316:1085,eth,45.0,0.13979013713142352,-0.13361507396431044,0.2084119293078192,0.26018352934909
hotel:296:1270,hotel,45.0,0.12649052165195712,-0.10871211004758508,0.18537732057210618,0.38553905853803033
hotel:297:1270,hotel,45.0,0.09293557659394094,-0.07412687839512391,0.1503660765632956,0.3086305433222383
hotel:303:1290,hotel,45.0,0.1631292938462837,-0.13847740515024304,0.1520436755071358,0.237834734202388
hotel:304:1298,hotel,45.0,0.08999813601766601,-0.05556351191017561,0.18575893961390536,0.32087582740086995
hotel:306:1301,hotel,45.0,0.15515984059712717,-0.14161689270038297,0.2622022157511134,0.40424851831388137
hotel:307:1306,hotel,45.0,0.09524537545210099,0.08156296466925061,0.13328588109288422,0.0651420229473623
hotel:310:1313,hotel,45.0,0.03356617279081355,-0.0024462522904868944,0.641721404727758,0.6569234659638287
hotel:315:1317,hotel,45.0,0.054880507487697364,0.007087819853057092,0.1160943524828299,0.17464932497156532
hotel:316:1317,hotel,45.0,0.1650441945243845,-0.14488200877484264,0.21815857227051336,0.3859579372194019
hotel:317:1318,hotel,45.0,0.04121265962789546,0.008105624676489065,0.08097750786610067,0.09900147091039972
hotel:333:1434,hotel,45.0,0.0941412930534015,-0.0523422151537869,0.10630095645617824,0.29502656905719443
hotel:334:1434,hotel,45.0,0.1189959869478507,0.018269381087546943,0.2977096237365761,0.3187270354001067
hotel:344:1495,hotel,45.0,0.11977985720549937,-0.04573521612454051,0.231337690447964,0.3514943986779653
hotel:345:1496,hotel,45.0,0.11673994997599166,0.1092977444684587,0.163442777311648,0.08623053678615118
hotel:356:1602,hotel,45.0,0.024538163823978314,-0.012197674650414853,0.21989028459962817,0.24974938163354385
hotel:358:1590,hotel,45.0,0.05533167089176312,0.038479896301874594,0.14045057139191328,0.20122990824114179
hotel:359:1591,hotel,45.0,0.05023191841375148,0.002076523116499862,0.15226934796465988,0.24996756289617172
hotel:362:1601,hotel,45.0,0.11143545146335541,-0.0921190015287241,0.1253342922413155,0.2931674356487268
hotel:363:1601,hotel,45.0,0.1390820330983557,-0.12211204497066272,0.20203162365435012,0.35122221304823326
hotel:365:1604,hotel,45.0,0.12448844754260846,-0.10806575505454341,0.27654371638507924,0.4044758952440143
hotel:366:1604,hotel,45.0,0.04892160857588506,-0.031004843765190193,0.17150306315465505,0.24139817829260832
zara1:109:640,zara1,45.0,0.0154236583151392,-0.012195192991269824,0.14269221350758005,0.11142412245826273
zara1:110:640,zara1,45.0,0.011750316080886152,-0.0017420190672135516,0.1846797388086417,0.08091962902533426
zara1:111:648,zara1,45.0,0.05239237608856527,0.040839147419583055,0.23160510677941262,0.41062596472613694
zara1:112:651,zara1,45.0,0.10242836995165214,0.09317856507527428,0.09019520672029172,0.18864071993110632
zara1:113:652,zara1,45.0,0.07015990325758813,0.058668171914605244,0.12190279418955598,0.23066220251836997
zara1:114:653,zara1,45.0,0.13148918501085338,-0.10885046862008224,0.1466414188032787,0.21277340672014516
zara1:115:653,zara1,45.0,0.16585693797528522,-0.15669584012972143,0.17622873595635585,0.2468808763856293
zara1:116:653,zara1,45.0,0.0019442448629802276,-0.0011208930423304286,0.21955075714749864,0.18814026343312185
zara1:117:660,zara1,45.0,0.16476109974435438,-0.15123000273939108,0.2121049675201771,0.2578093315683765
