source,arm,seed,variant,step,origin,pinball
Electricity,PCA,92341,selected_raw,512,21683,0.2261715552540849
Electricity,PCA,92341,selected_raw,512,21747,0.18581086363532606
Electricity,PCA,92341,selected_raw,512,21811,0.17805144438058373
Electricity,PCA,92341,selected_raw,512,21875,0.15608463158562846
Electricity,PCA,92341,selected_raw,512,21939,0.20950566600329057
Electricity,PCA,92341,selected_raw,512,22003,0.14976461072454833
Electricity,PCA,92341,selected_raw,512,22067,0.23216972192212992
Electricity,PCA,92341,selected_raw,512,22131,0.2659459369848981
Electricity,PCA,92341,selected_raw,512,22195,0.21203142693243582
Electricity,PCA,92341,selected_raw,512,22259,0.18342118044746136
Electricity,PCA,92341,selected_raw,512,22323,0.21975840205403108
Electricity,PCA,92341,selected_raw,512,22387,0.17391309631895138
Electricity,PCA,92341,selected_raw,512,22451,0.20776221723944102
Electricity,PCA,92341,selected_raw,512,22515,0.19280216894113653
Electricity,PCA,92341,selected_raw,512,22579,0.2503421075294946
Electricity,PCA,92341,selected_raw,512,22643,0.23875605212077955
Electricity,PCA,92341,selected_raw,512,22707,0.19033429704887828
Electricity,PCA,92341,selected_raw,512,22771,0.20665612700285957
Electricity,PCA,92341,selected_raw,512,22835,0.22187229569053485
Electricity,PCA,92341,selected_raw,512,22899,0.21036812883449194
Electricity,PCA,92341,selected_raw,512,22963,0.22911314010166695
Electricity,PCA,92341,selected_raw,512,23027,0.2006809284216177
Electricity,PCA,92341,selected_raw,512,23091,0.16819314330130758
Electricity,PCA,92341,selected_raw,512,23155,0.20766368959359385
Electricity,PCA,92341,selected_raw,512,23219,0.23524456477864936
Electricity,PCA,92341,selected_raw,512,23283,0.17318664426104793
Electricity,PCA,92341,selected_raw,512,23347,0.26283547060147683
Electricity,PCA,92341,selected_raw,512,23411,0.18763547411617765
Electricity,PCA,92341,selected_raw,512,23475,0.24640414432643074
Electricity,PCA,92341,selected_raw,512,23539,0.175085941156501
Electricity,PCA,92341,selected_raw,512,23603,0.22163022122144926
Electricity,PCA,92341,selected_raw,512,23667,0.19118775371312835
Electricity,PCA,92341,selected_raw,512,23731,0.18934707123568462
Electricity,PCA,92341,selected_raw,512,23795,0.21017749177517564
Electricity,PCA,92341,selected_raw,512,23859,0.17578952823999072
Electricity,PCA,92341,selected_raw,512,23923,0.17536806702302007
Electricity,PCA,92341,selected_raw,512,23987,0.189925535361752
Electricity,PCA,92341,selected_raw,512,24051,0.19456372830455212
Electricity,PCA,92341,selected_raw,512,24115,0.17006279731811785
Electricity,PCA,92341,selected_raw,512,24179,0.21867453588696295
Electricity,PCA,92341,selected_raw,512,24243,0.2083771016905533
Electricity,PCA,92341,selected_raw,512,24307,0.21942245561129967
Electricity,PCA,92341,selected_raw,512,24371,0.22465563998670987
Electricity,PCA,92341,selected_raw,512,24435,0.17185656477477423
Electricity,PCA,92341,selected_raw,512,24499,0.18145549338395367
Electricity,PCA,92341,selected_raw,512,24563,0.21715235775857303
Electricity,PCA,92341,selected_raw,512,24627,0.16335107429268042
Electricity,PCA,92341,selected_raw,512,24691,0.23394331426840453
Electricity,PCA,92341,selected_raw,512,24755,0.1672998010897843
Electricity,PCA,92341,selected_raw,512,24819,0.18371549715445018
Electricity,PCA,92341,selected_raw,512,24883,0.19336385689300487
Electricity,PCA,92341,selected_raw,512,24947,0.16684610196661878
Electricity,PCA,92341,selected_raw,512,25011,0.16811378627281143
Electricity,PCA,92341,selected_raw,512,25075,0.15757684179413228
