source,variant,candidate,control,candidate_score,control_score,improvement_pct,ci_low,ci_high
Electricity,raw128,RANDOM,F0,0.20255838143591637,0.2038261206457359,0.6219709259064787,0.454855219206792,0.892799573086907
Electricity,raw128,RANDOM,PCA,0.20255838143591637,0.20232195745288623,-0.1168553260390448,-0.18800699350989714,-0.01818784256784396
Electricity,raw128,RANDOM,TEMP,0.20255838143591637,0.20221854307666676,-0.168054993414124,-0.23105272942451793,-0.07454677214397651
Electricity,raw128,RANDOM,SHUFFLE,0.20255838143591637,0.2023483742650101,-0.10378495585599001,-0.16367374544919877,-0.04006304813509612
Electricity,raw128,PCA,F0,0.20232195745288623,0.2038261206457359,0.7379639018219919,0.5144795364428945,1.0315626640778073
Electricity,raw128,PCA,RANDOM,0.20232195745288623,0.20255838143591637,0.11671893374846087,0.018184535134236346,0.1876541904946832
Electricity,raw128,PCA,TEMP,0.20232195745288623,0.20221854307666676,-0.05113990766922871,-0.12449353417298692,0.007424657053442216
Electricity,raw128,PCA,SHUFFLE,0.20232195745288623,0.2023483742650101,0.013055114586324468,-0.03817004150831582,0.04323238389621339
Electricity,raw128,TEMP,F0,0.20221854307666676,0.2038261206457359,0.7887004687996968,0.5656541019955003,1.090580901467543
Electricity,raw128,TEMP,RANDOM,0.20221854307666676,0.20255838143591637,0.1677730424386903,0.07449124080252667,0.23052010637997578
Electricity,raw128,TEMP,PCA,0.20221854307666676,0.20232195745288623,0.05111376813540236,-0.007425208365906544,0.12433874043087678
Electricity,raw128,TEMP,SHUFFLE,0.20221854307666676,0.2023483742650101,0.06416220976073195,-0.003854687978116499,0.11918634954075441
Electricity,raw128,SHUFFLE,F0,0.2023483742650101,0.2038261206457359,0.7250034372651593,0.5331553118504104,1.0055373954595415
Electricity,raw128,SHUFFLE,RANDOM,0.2023483742650101,0.20255838143591637,0.10367735435954373,0.040047004075586534,0.1634062922207618
Electricity,raw128,SHUFFLE,PCA,0.2023483742650101,0.20232195745288623,-0.013056819169032785,-0.04325108238690922,0.03815547746869034
Electricity,raw128,SHUFFLE,TEMP,0.2023483742650101,0.20221854307666676,-0.06420340408352931,-0.11932857291079291,0.0038545393426760908
Electricity,selected_raw,RANDOM,F0,0.20139129918616763,0.2038261206457359,1.194558112500299,0.8612134663470975,1.5818008670782184
Electricity,selected_raw,RANDOM,PCA,0.20139129918616763,0.20134205912958042,-0.024455921827803984,-0.09547498723306902,0.10328519354591359
Electricity,selected_raw,RANDOM,TEMP,0.20139129918616763,0.20117175732041018,-0.10913155439000732,-0.19919494460836185,0.013302608293636761
Electricity,selected_raw,RANDOM,SHUFFLE,0.20139129918616763,0.20126947672210652,-0.06052704366559247,-0.13500505024655773,0.02504800196291787
Electricity,selected_raw,PCA,F0,0.20134205912958042,0.2038261206457359,1.218715986099228,0.8033375226265191,1.6245538312507766
Electricity,selected_raw,PCA,RANDOM,0.20134205912958042,0.20139129918616763,0.024449942369009214,-0.1033919821875412,0.09538391944653972
Electricity,selected_raw,PCA,TEMP,0.20134205912958042,0.20117175732041018,-0.08465492941884811,-0.25815428753662606,0.05902474794853138
Electricity,selected_raw,PCA,SHUFFLE,0.20134205912958042,0.20126947672210652,-0.03606230246930853,-0.13755269230317446,0.030268075939610544
Electricity,selected_raw,TEMP,F0,0.20117175732041018,0.2038261206457359,1.3022684810545915,0.9681662548899587,1.6768754660097274
Electricity,selected_raw,TEMP,RANDOM,0.20117175732041018,0.20139129918616763,0.10901258725904972,-0.013304378328380937,0.19879894714845106
Electricity,selected_raw,TEMP,PCA,0.20117175732041018,0.20134205912958042,0.0845833254643713,-0.059059607819538784,0.2574895669053219
Electricity,selected_raw,TEMP,SHUFFLE,0.20117175732041018,0.20126947672210652,0.04855152568974397,-0.08666800603560565,0.16993274503853958
Electricity,selected_raw,SHUFFLE,F0,0.20126947672210652,0.2038261206457359,1.2543259497505788,0.8959098691996209,1.64417530328575
Electricity,selected_raw,SHUFFLE,RANDOM,0.20126947672210652,0.20139129918616763,0.06049043059626058,-0.025054277568867245,0.13482303233810192
Electricity,selected_raw,SHUFFLE,PCA,0.20126947672210652,0.20134205912958042,0.03604930226087655,-0.030277240491245472,0.13736374443480037
Electricity,selected_raw,SHUFFLE,TEMP,0.20126947672210652,0.20117175732041018,-0.048575109646575854,-0.1702220079842559,0.08659295764106094
Electricity,selected_cal,RANDOM,F0,0.2013912991850978,0.20382612064574276,1.1945581130284988,0.8612134674401556,1.5818008673089183
Electricity,selected_cal,RANDOM,PCA,0.2013912991850978,0.20134205912910877,-0.02445592153075271,-0.09547498717912328,0.10328519365932398
Electricity,selected_cal,RANDOM,TEMP,0.2013912991850978,0.20117175732074707,-0.10913155369054461,-0.19919494326611886,0.013302608645481426
Electricity,selected_cal,RANDOM,SHUFFLE,0.2013912991850978,0.20126947672053255,-0.060527043916547285,-0.1350050513297113,0.025048002091586336
Electricity,selected_cal,PCA,F0,0.20134205912910877,0.20382612064574276,1.2187159863339514,0.803337522650796,1.6245538316699701
Electricity,selected_cal,PCA,RANDOM,0.20134205912910877,0.2013912991850978,0.024449942072113373,-0.10339198230119306,0.09538391939269557
Electricity,selected_cal,PCA,TEMP,0.20134205912910877,0.20117175732074707,-0.08465492901679195,-0.25815428706810306,0.05902474850729525
Electricity,selected_cal,PCA,SHUFFLE,0.20134205912910877,0.20126947672053255,-0.0360623030172702,-0.1375526921547049,0.030268075322060366
Electricity,selected_cal,TEMP,F0,0.20117175732074707,0.20382612064574276,1.3022684808926321,0.9681662545176689,1.676875465418327
Electricity,selected_cal,TEMP,RANDOM,0.20117175732074707,0.2013912991850978,0.10901258656111912,-0.013304378680326632,0.19879894581153326
Electricity,selected_cal,TEMP,PCA,0.20117175732074707,0.20134205912910877,0.08458332506299238,-0.05905960837894686,0.2574895664392064
Electricity,selected_cal,TEMP,SHUFFLE,0.20117175732074707,0.20126947672053255,0.048551524740714225,-0.08666800603377378,0.16993274450738224
