key,main_updates,frozen_unchanged,selected,initial_sha,selected_sha
Electricity_PCA_92341,512,True,512,26f5489631cc5635e1ddec93de034a8b6bd2578eb897d4a68edcab8d0f20c977,063793e38f20fc9502fa456b35e8f1cffafc57d51dbb5cc7218b55e78ab98a6d
Electricity_PCA_92342,512,True,512,bd945787d54a9dba7b742c5f889b4b73e7a16e9915ef3d52b580cd4153a77059,3b16189aba65f3a1eb43991a6482791dca0705c36eb7ebc4f23647ef07175062
Electricity_RANDOM_92341,512,True,512,a869f81816558369f101bfb7795d769380f0b704381269579e855e125bbd567a,e9b6c76719cbb0cd1efb91a75efecc20c3978985963c9f114e9d51267f378a2c
Electricity_RANDOM_92342,512,True,512,2bce842dc34953039469de5e59a47ac9e313c13610a7f9e0fb2cab458f311289,0500bcc84a4d7eb3ce92a98a12515cc7c37ee4616a97b05daf6321328b5c29b8
Electricity_SHUFFLE_92341,512,True,512,9ea6f520634b0413a9b3835f824099d9244dd80c11db2ebb1037163d329726a1,636541ff0729692f4b5c4b511738c5f094771d744576517282b06d3872ddf0dc
Electricity_SHUFFLE_92342,512,True,512,4750d78479ed767c4fac2b99bc2eba0d2b901dfba12f464d180d3990bf61e392,c114710965017ada723027aeaad8cea6538272f08d4e81167ae099fe62c91b65
Electricity_TEMP_92341,512,True,512,2597f256ade5f173419d3e402eb4e951136662666705b43510a602a2004774d6,80fe2942f2d698862cd372e7b8de0a5cca3e2ae1c172f801c74b2a9acead724c
Electricity_TEMP_92342,512,True,512,5ea7c9b51295406f8ecd6e5d2145d259978e166656e6414d11679192c35d9e8d,abbb0dae58fc59b18d40ff3da5c637a83e5f416e281504d52eba0ab2cafa6925
ETTh1_PCA_92341,512,True,512,0182dd3d62f82ef1c579f14a3b82a53e14bcf585f9d9b1a74371114a8bad8922,f3793615d8dcbbff24de07077ff1a54b9ac72227ecb631873e2fa187effaf8b0
ETTh1_PCA_92342,512,True,512,d7530c696edbaa05fad827a932216f51c46d55515b5446050da850cdaf6f04ad,1281c5b6926d1e922121fdc124be7bf5816bc1e8fd3246e9b0166da0964c450f
ETTh1_RANDOM_92341,512,True,512,a869f81816558369f101bfb7795d769380f0b704381269579e855e125bbd567a,0bc3f11331ef179938716ec0ea0a79ab92e42ab971d3f6d4bb94311c2c0d082c
ETTh1_RANDOM_92342,512,True,512,2bce842dc34953039469de5e59a47ac9e313c13610a7f9e0fb2cab458f311289,22ae873e525008b5d6496cfa8ee8218399741288fa83896453137d0f3c48d914
ETTh1_SHUFFLE_92341,512,True,512,70249607ab33c395e87c9c011cef3aa4a8ce07191ebbe78caab9318614fc7db0,c43294415963ef6c0072880f1cd41f66dd6573141fe9f524992d0fb475c47205
ETTh1_SHUFFLE_92342,512,True,512,dd472745e8a5c2dd3ef818cfc8a135fe7ed7eea7b40de01e022327f8a8aa7e8d,cdc3b0e97a81612504e8942cba9e43a9c2c699eb77f236e251d846a07b4d24b7
ETTh1_TEMP_92341,512,True,512,cc29071cf2f8f4aa8a5d97c74849e1b1434884bff0eaef7f4397b06fba3e74f6,5d5d589b78828d4083b292e93e8185588e4ff3f7dea9213f8306350acb445300
ETTh1_TEMP_92342,512,True,512,fb7251b4a83842698f5993470afabbf43e12a7a6fa591f43ce54d73611f6322e,505fc822618642cb7bfd18f0811e94c082993879fd5bb7175a773e806af5bb85
