source,arm,seed,variant,step,pinball,nmae,raw_mae,coverage,width,crossing
Electricity,PCA,92341,raw128,128,0.2022466413466429,0.25209153088464076,64.27278159922216,0.8099037728658537,0.7949452996253967,0.00048530392530487805
Electricity,PCA,92341,selected_raw,512,0.20147081166742986,0.25114031617553234,63.792725883606,0.8137147484756098,0.801005482673645,0.0006728753810975609
Electricity,PCA,92341,selected_cal,512,0.20147081166564604,0.25114031617553234,63.792725883606,0.8137147484756098,0.801005482673645,0.0006728753810975609
Electricity,PCA,92342,raw128,128,0.20239727355912965,0.2524563679540504,64.41886832165282,0.8158107850609756,0.8108938932418823,0.0004972132240853659
Electricity,PCA,92342,selected_raw,512,0.2012133065917309,0.25100170782847364,63.86112961263918,0.8049733231707317,0.7843475341796875,0.0006579887576219513
Electricity,PCA,92342,selected_cal,512,0.2012133065925715,0.25100170782847364,63.86112961263918,0.8049733231707317,0.7843475341796875,0.0006579887576219513
Electricity,RANDOM,92341,raw128,128,0.2023660169838285,0.25229332361893114,64.3602285241572,0.8086890243902439,0.7954440116882324,0.0005418730945121952
Electricity,RANDOM,92341,selected_raw,512,0.20147549686478228,0.2511013005891772,63.76159847055266,0.8142149390243902,0.8017775416374207,0.0007383765243902439
Electricity,RANDOM,92341,selected_cal,512,0.20147549686294994,0.2511013005891772,63.76159847055266,0.8142149390243902,0.8017775416374207,0.0007383765243902439
Electricity,RANDOM,92342,raw128,128,0.20275074588800426,0.25289207337205305,64.58868308765132,0.8157155106707317,0.8127672076225281,0.0004972132240853659
Electricity,RANDOM,92342,selected_raw,512,0.20130710150755296,0.25110043186532527,63.90344941943157,0.8053306021341463,0.7867691516876221,0.0007889910442073171
Electricity,RANDOM,92342,selected_cal,512,0.20130710150724565,0.25110043186532527,63.90344941943157,0.8053306021341463,0.7867691516876221,0.0007889910442073171
Electricity,SHUFFLE,92341,raw128,128,0.20225544398010875,0.2520751322107783,64.27284040520104,0.8093321265243902,0.7947962880134583,0.0005269864710365854
Electricity,SHUFFLE,92341,selected_raw,512,0.20136071382712928,0.2508982932715938,63.726594476801594,0.8136194740853658,0.8002166748046875,0.0006996713033536585
Electricity,SHUFFLE,92341,selected_cal,512,0.20136071382576784,0.2508982932715938,63.726594476801594,0.8136194740853658,0.8002166748046875,0.0006996713033536585
Electricity,SHUFFLE,92342,raw128,128,0.20244130454991147,0.25248927507427305,64.43616830339519,0.8161918826219512,0.8110246658325195,0.0004823266006097561
