source,arm,seed,threshold,first_step,time_seconds,status
Electricity,PCA,92341,0.15784880768394313,128,6.7246912000118755,REACHED
Electricity,PCA,92342,0.1581357105317878,128,6.735031499993056,REACHED
Electricity,RANDOM,92341,0.15784880768394313,128,5.9713340000016615,REACHED
Electricity,RANDOM,92342,0.1581357105317878,128,6.483223100483883,REACHED
Electricity,SHUFFLE,92341,0.15784880768394313,128,6.663986199971987,REACHED
Electricity,SHUFFLE,92342,0.1581357105317878,128,6.638724099990213,REACHED
Electricity,TEMP,92341,0.15784880768394313,128,6.55665769969346,REACHED
Electricity,TEMP,92342,0.1581357105317878,128,6.6307562996516936,REACHED
ETTh1,PCA,92341,0.2834244013832637,256,15.756164700374939,REACHED
ETTh1,PCA,92342,0.2812278904883494,512,24.730080399429426,REACHED
ETTh1,RANDOM,92341,0.2834244013832637,256,27.478805700637167,REACHED
ETTh1,RANDOM,92342,0.2812278904883494,512,24.059723499667598,REACHED
ETTh1,SHUFFLE,92341,0.2834244013832637,256,12.370601299975533,REACHED
ETTh1,SHUFFLE,92342,0.2812278904883494,512,25.188821999821812,REACHED
ETTh1,TEMP,92341,0.2834244013832637,256,12.636226100265048,REACHED
ETTh1,TEMP,92342,0.2812278904883494,512,24.604155900218757,REACHED
