source,arm,seed,step,val_pinball,charged_seconds
Electricity,PCA,92341,0,0.1589211120297282,0.0
Electricity,PCA,92341,32,0.15867639416840584,2.132555899966974
Electricity,PCA,92341,128,0.15755764571752476,6.7246912000118755
Electricity,PCA,92341,256,0.15740154578126603,12.707246699865209
Electricity,PCA,92341,512,0.1562309156155333,24.826579499756917
Electricity,PCA,92342,0,0.1589211120297282,0.0
Electricity,PCA,92342,32,0.15838130088940788,2.2110441999393515
Electricity,PCA,92342,128,0.15721551364370995,6.735031499993056
Electricity,PCA,92342,256,0.15688548072339914,12.764093000005232
Electricity,PCA,92342,512,0.15643463331843524,25.175444699969376
Electricity,RANDOM,92341,0,0.1589211120297282,0.0
Electricity,RANDOM,92341,32,0.15869688856397704,1.5137168999644928
Electricity,RANDOM,92341,128,0.15772969648774746,5.9713340000016615
Electricity,RANDOM,92341,256,0.15756443729945693,11.971395899832714
Electricity,RANDOM,92341,512,0.1562859482019239,24.025010199547978
Electricity,RANDOM,92342,0,0.1589211120297282,0.0
Electricity,RANDOM,92342,32,0.15857397297722528,1.5179626001627184
Electricity,RANDOM,92342,128,0.15760642811052972,6.483223100483883
Electricity,RANDOM,92342,256,0.1569359384660765,12.763949800399132
Electricity,RANDOM,92342,512,0.15657001042751267,28.910087400174234
Electricity,SHUFFLE,92341,0,0.1589211120297282,0.0
Electricity,SHUFFLE,92341,32,0.15859531541740446,2.196924499992747
Electricity,SHUFFLE,92341,128,0.1576014863046626,6.663986199971987
Electricity,SHUFFLE,92341,256,0.15738106465391458,12.580560399917886
Electricity,SHUFFLE,92341,512,0.15607204382360979,24.50759609992383
Electricity,SHUFFLE,92342,0,0.1589211120297282,0.0
Electricity,SHUFFLE,92342,32,0.15843562902571126,2.183426000032341
Electricity,SHUFFLE,92342,128,0.15734048712492724,6.638724099990213
Electricity,SHUFFLE,92342,256,0.1568811648240682,12.570306799927494
Electricity,SHUFFLE,92342,512,0.1564194014896164,24.478810999979032
Electricity,TEMP,92341,0,0.1589211120297282,0.0
Electricity,TEMP,92341,32,0.15851445483304522,2.1793404997733887
Electricity,TEMP,92341,128,0.15762569038313595,6.55665769969346
Electricity,TEMP,92341,256,0.15747673667464968,12.445165199955227
Electricity,TEMP,92341,512,0.1561946255281422,24.34903420016053
Electricity,TEMP,92342,0,0.1589211120297282,0.0
Electricity,TEMP,92342,32,0.15840251728763208,2.2044730999623425
Electricity,TEMP,92342,128,0.15736332111799461,6.6307562996516936
Electricity,TEMP,92342,256,0.15701472455905455,12.592365699674701
Electricity,TEMP,92342,512,0.15645719890129217,24.456784199515823
ETTh1,PCA,92341,0,0.2903423682283229,0.0
ETTh1,PCA,92341,32,0.2896517134121383,3.6696485000429675
ETTh1,PCA,92341,128,0.2865647732258255,9.933492700336501
ETTh1,PCA,92341,256,0.2833507242960796,15.756164700374939
ETTh1,PCA,92341,512,0.2818462772006136,27.700451399898157
ETTh1,PCA,92342,0,0.2903423682283229,0.0
ETTh1,PCA,92342,32,0.289500257378987,1.9414378999208566
ETTh1,PCA,92342,128,0.2875638403437347,6.68428889993811
ETTh1,PCA,92342,256,0.2831933620203152,12.757176599814557
ETTh1,PCA,92342,512,0.2800514096062309,24.730080399429426
ETTh1,RANDOM,92341,0,0.2903423682283229,0.0
ETTh1,RANDOM,92341,32,0.2898201213202036,3.351511800196022
ETTh1,RANDOM,92341,128,0.28603356074010405,13.509912800509483
ETTh1,RANDOM,92341,256,0.28154667745905665,27.478805700637167
ETTh1,RANDOM,92341,512,0.28061821919135016,54.462268300529104
ETTh1,RANDOM,92342,0,0.2903423682283229,0.0
ETTh1,RANDOM,92342,32,0.28977637816605784,1.5008064998255577
ETTh1,RANDOM,92342,128,0.28685914176964655,5.989138599543367
ETTh1,RANDOM,92342,256,0.28153230438054133,11.887927699630382
ETTh1,RANDOM,92342,512,0.2784434559290588,24.059723499667598
ETTh1,SHUFFLE,92341,0,0.2903423682283229,0.0
ETTh1,SHUFFLE,92341,32,0.2897641759049327,2.0187960999901406
ETTh1,SHUFFLE,92341,128,0.2864739704548863,6.468418899981771
ETTh1,SHUFFLE,92341,256,0.2827923906314001,12.370601299975533
ETTh1,SHUFFLE,92341,512,0.2815418390259617,24.40331069988315
ETTh1,SHUFFLE,92342,0,0.2903423682283229,0.0
ETTh1,SHUFFLE,92342,32,0.28959783362690805,2.0813235999376047
ETTh1,SHUFFLE,92342,128,0.2872386731374638,6.61647050009924
ETTh1,SHUFFLE,92342,256,0.2825891473401192,13.121700499847066
ETTh1,SHUFFLE,92342,512,0.2793807107916169,25.188821999821812
ETTh1,TEMP,92341,0,0.2903423682283229,0.0
ETTh1,TEMP,92341,32,0.2895324392787378,2.052308100013761
ETTh1,TEMP,92341,128,0.2865244573934911,6.486450100026559
ETTh1,TEMP,92341,256,0.2831451068481908,12.636226100265048
ETTh1,TEMP,92341,512,0.2826758427581074,24.573356399603654
ETTh1,TEMP,92342,0,0.2903423682283229,0.0
ETTh1,TEMP,92342,32,0.28949063927280844,2.021072999952594
ETTh1,TEMP,92342,128,0.2869858828167122,6.5430601000844035
ETTh1,TEMP,92342,256,0.28263939186324377,12.437690999999177
ETTh1,TEMP,92342,512,0.27997120141287896,24.604155900218757
