source,control,layer,subspace_overlap
Electricity,PCA,0,0.13006924092769623
Electricity,PCA,1,0.1406707614660263
Electricity,PCA,2,0.3528654873371124
Electricity,PCA,3,0.39408302307128906
Electricity,PCA,4,0.39658117294311523
Electricity,PCA,5,0.4590999186038971
Electricity,SHUFFLE,0,0.07490862160921097
Electricity,SHUFFLE,1,0.14890927076339722
Electricity,SHUFFLE,2,0.20507848262786865
Electricity,SHUFFLE,3,0.2608312666416168
Electricity,SHUFFLE,4,0.2731045186519623
Electricity,SHUFFLE,5,0.2462826669216156
ETTh1,PCA,0,0.1591612845659256
ETTh1,PCA,1,0.19096699357032776
ETTh1,PCA,2,0.2606731653213501
ETTh1,PCA,3,0.3741644024848938
ETTh1,PCA,4,0.4154031276702881
ETTh1,PCA,5,0.4584465026855469
ETTh1,SHUFFLE,0,0.10963956266641617
ETTh1,SHUFFLE,1,0.1592549830675125
ETTh1,SHUFFLE,2,0.21253998577594757
ETTh1,SHUFFLE,3,0.24000227451324463
ETTh1,SHUFFLE,4,0.22227662801742554
ETTh1,SHUFFLE,5,0.220497265458107
