source,arm,seed,variant,step,series_index,pinball,nmae,raw_mae,coverage,width,crossing
Electricity,PCA,92341,raw128,128,0,0.1516727137864336,0.1877760771482804,88.01377848881047,0.8031631097560976,0.5889729857444763,0.0
Electricity,PCA,92341,raw128,128,1,0.1702175346813583,0.21174473964375234,76.6144396153892,0.8062118902439024,0.668221652507782,0.0
Electricity,PCA,92341,raw128,128,2,0.21266990464015023,0.2597982138273042,110.742730854488,0.8029725609756098,0.7311058640480042,0.0019769435975609756
Electricity,PCA,92341,raw128,128,3,0.3925642093283801,0.5016578378718615,20.680093441067672,0.7810594512195121,1.5679636001586914,0.0
Electricity,PCA,92341,raw128,128,4,0.16209916032649954,0.19783085437760284,54.88484639947007,0.8885289634146342,0.7886804938316345,0.001881669207317073
Electricity,PCA,92341,raw128,128,5,0.17400471305170181,0.21770961109385714,56.62447065841861,0.8266006097560976,0.7125427722930908,0.0
Electricity,PCA,92341,raw128,128,6,0.14729314812873642,0.18208705976839137,59.47978165091538,0.7879192073170732,0.5369763374328613,0.0
Electricity,PCA,92341,raw128,128,7,0.20745174682988335,0.2581278533460763,47.142111685217884,0.7827743902439024,0.765098512172699,2.381859756097561e-05
Electricity,PCA,92341,selected_raw,512,0,0.14796085650407945,0.18299705292540583,85.77377014625364,0.8052591463414634,0.5720864534378052,0.0
Electricity,PCA,92341,selected_raw,512,1,0.1690059818450889,0.2095996752628423,75.83830271697626,0.8138338414634146,0.6783555746078491,0.0
Electricity,PCA,92341,selected_raw,512,2,0.21015662691034548,0.2561815736105834,109.20108586695136,0.8163109756097561,0.7438458800315857,0.002238948170731707
Electricity,PCA,92341,selected_raw,512,3,0.39232045206860866,0.5018320959877255,20.687276971049425,0.7823932926829268,1.5733582973480225,0.0
Electricity,PCA,92341,selected_raw,512,4,0.16410189598188918,0.20062085392847528,55.65888489455712,0.8929115853658537,0.8145519495010376,0.0029773246951219513
Electricity,PCA,92341,selected_raw,512,5,0.17336170388700975,0.21769123878029267,56.619692171492225,0.8113567073170732,0.6967529654502869,0.00016673018292682928
Electricity,PCA,92341,selected_raw,512,6,0.14705114248752746,0.18169558192910465,59.3519031710741,0.7915396341463414,0.5446503758430481,0.0
Electricity,PCA,92341,selected_raw,512,7,0.20780783365488995,0.2585044569798291,47.210891130493906,0.7961128048780488,0.7844427824020386,0.0
Electricity,PCA,92341,selected_cal,512,0,0.14796085650407945,0.18299705292540583,85.77377014625364,0.8052591463414634,0.5720864534378052,0.0
Electricity,PCA,92341,selected_cal,512,1,0.1690059818450889,0.2095996752628423,75.83830271697626,0.8138338414634146,0.6783555746078491,0.0
Electricity,PCA,92341,selected_cal,512,2,0.21015662689700662,0.2561815736105834,109.20108586695136,0.8163109756097561,0.7438458800315857,0.002238948170731707
Electricity,PCA,92341,selected_cal,512,3,0.39232045206860866,0.5018320959877255,20.687276971049425,0.7823932926829268,1.5733582973480225,0.0
Electricity,PCA,92341,selected_cal,512,4,0.16410189598095762,0.20062085392847528,55.65888489455712,0.8929115853658537,0.8145519495010376,0.0029773246951219513
Electricity,PCA,92341,selected_cal,512,5,0.17336170388700975,0.21769123878029267,56.619692171492225,0.8113567073170732,0.6967529654502869,0.00016673018292682928
Electricity,PCA,92341,selected_cal,512,6,0.14705114248752746,0.18169558192910465,59.3519031710741,0.7915396341463414,0.5446503758430481,0.0
Electricity,PCA,92341,selected_cal,512,7,0.20780783365488995,0.2585044569798291,47.210891130493906,0.7961128048780488,0.7844427824020386,0.0
Electricity,PCA,92342,raw128,128,0,0.15126520100485186,0.1871520019988702,87.72126405995067,0.8224085365853658,0.620922863483429,0.0
Electricity,PCA,92342,raw128,128,1,0.171064863243329,0.21275979034589151,76.98170985245123,0.813452743902439,0.6905088424682617,0.0
Electricity,PCA,92342,raw128,128,2,0.21367766892906767,0.2618621471031683,111.62251214283269,0.805640243902439,0.7408961057662964,0.0018340320121951218
Electricity,PCA,92342,raw128,128,3,0.39245332322459436,0.5014754659511375,20.67257543162602,0.7871570121951219,1.5896632671356201,0.0
Electricity,PCA,92342,raw128,128,4,0.16332038053766101,0.19904349896942053,55.22127426542887,0.8830030487804879,0.7884598970413208,0.0021198551829268294
Electricity,PCA,92342,raw128,128,5,0.17370747909768527,0.2171732310908598,56.48496265236924,0.8264100609756098,0.7157118320465088,0.0
Electricity,PCA,92342,raw128,128,6,0.14718130514033745,0.18229711323602116,59.548396819975316,0.8006859756097561,0.5582796931266785,0.0
Electricity,PCA,92342,raw128,128,7,0.20650796729551069,0.2578876949370349,47.098251348588526,0.7877286585365854,0.7827085256576538,2.381859756097561e-05
Electricity,PCA,92342,selected_raw,512,0,0.14857155852193926,0.18397127975282185,86.2304065053056,0.8001143292682927,0.5684911012649536,0.0
Electricity,PCA,92342,selected_raw,512,1,0.16938533184237575,0.21038341078541473,76.12187744931477,0.8027820121951219,0.6598386168479919,0.0
Electricity,PCA,92342,selected_raw,512,2,0.2115490913483364,0.2591941899658701,110.48525698301269,0.8077362804878049,0.7394707798957825,0.002096036585365854
Electricity,PCA,92342,selected_raw,512,3,0.39208612453803454,0.5011107086382278,20.65753885740187,0.7787728658536586,1.5636086463928223,0.0
Electricity,PCA,92342,selected_raw,512,4,0.1616025578666804,0.1967940883367654,54.597213082197236,0.8797637195121951,0.7701858878135681,0.003048780487804878
Electricity,PCA,92342,selected_raw,512,5,0.17201606152496127,0.2156125137076225,56.079032959007634,0.805640243902439,0.678756594657898,7.145579268292682e-05
Electricity,PCA,92342,selected_raw,512,6,0.14695245590878847,0.1818234245538116,59.393663697126435,0.782202743902439,0.5298865437507629,0.0
Electricity,PCA,92342,selected_raw,512,7,0.2075432711827313,0.2591240468872553,47.324047367747234,0.7827743902439024,0.7645416855812073,4.763719512195122e-05
Electricity,PCA,92342,selected_cal,512,0,0.14857155852193926,0.18397127975282185,86.2304065053056,0.8001143292682927,0.5684911012649536,0.0
Electricity,PCA,92342,selected_cal,512,1,0.16938533184237575,0.21038341078541473,76.12187744931477,0.8027820121951219,0.6598386168479919,0.0
Electricity,PCA,92342,selected_cal,512,2,0.21154909135273212,0.2591941899658701,110.48525698301269,0.8077362804878049,0.7394707798957825,0.002096036585365854
Electricity,PCA,92342,selected_cal,512,3,0.39208612453803454,0.5011107086382278,20.65753885740187,0.7787728658536586,1.5636086463928223,0.0
Electricity,PCA,92342,selected_cal,512,4,0.16160255786900934,0.1967940883367654,54.597213082197236,0.8797637195121951,0.7701858878135681,0.003048780487804878
Electricity,PCA,92342,selected_cal,512,5,0.17201606152496127,0.2156125137076225,56.079032959007634,0.805640243902439,0.678756594657898,7.145579268292682e-05
Electricity,PCA,92342,selected_cal,512,6,0.14695245590878847,0.1818234245538116,59.393663697126435,0.782202743902439,0.5298865437507629,0.0
Electricity,PCA,92342,selected_cal,512,7,0.2075432711827313,0.2591240468872553,47.324047367747234,0.7827743902439024,0.7645416855812073,4.763719512195122e-05
Electricity,RANDOM,92341,raw128,128,0,0.1525833533896214,0.1890581925767722,88.6147273691689,0.801829268292683,0.5960694551467896,0.0
