arm,lr,recipe
F0,0.0001,fixed
IMMEDIATE_LORA,0.0001,fixed
WAIT_FULL,0.0001,fixed
TAFAS_LIKE,0.0001,fixed
MATURITY_PEFT,0.0001,fixed
