fit,source,arm,seed,lr,trainable_parameters,optimizer_seconds,validation_seconds,peak_allocated,peak_reserved
electricity_PETSA_XY_OFFLINE_s81550_lr0.0001,electricity,PETSA_XY_OFFLINE,81550,0.0001,19010,41.47073181986343,6.25080146297114,385394176,400556032
ettm1_PETSA_XY_OFFLINE_s81551_lr0.0001,ettm1,PETSA_XY_OFFLINE,81551,0.0001,19010,39.34370211249916,6.036090496054385,385394176,400556032
electricity_PETSA_XY_OFFLINE_s81550_lr0.0003,electricity,PETSA_XY_OFFLINE,81550,0.0003,19010,43.05131743126549,6.411226791853551,385394176,400556032
electricity_PETSA_XY_OFFLINE_s81552_lr0.0001,electricity,PETSA_XY_OFFLINE,81552,0.0001,19010,39.80098511534743,6.069110486016143,385394176,400556032
ettm1_PETSA_XY_OFFLINE_s81550_lr0.0001,ettm1,PETSA_XY_OFFLINE,81550,0.0001,19010,40.473918205010705,6.094725873961579,385394176,400556032
ettm1_PETSA_XY_OFFLINE_s81552_lr0.0001,ettm1,PETSA_XY_OFFLINE,81552,0.0001,19010,39.68972613790538,6.120411794981919,385394176,400556032
ettm1_PETSA_XY_OFFLINE_s81550_lr0.0003,ettm1,PETSA_XY_OFFLINE,81550,0.0003,19010,40.009025780891534,6.079403746931348,385394176,400556032
electricity_PETSA_XY_OFFLINE_s81551_lr0.0001,electricity,PETSA_XY_OFFLINE,81551,0.0001,19010,39.8903749549645,6.040416058967821,385394176,400556032
