id,arm,seed,lr,updates,mean_task_loss,mean_KD_loss,clip_fraction,optimizer_seconds,peak_training_MiB,selected_repeat,selected_step,pool_u_nonzero_fraction,pool_u_median_gradient_norm,pool_v_nonzero_fraction,pool_v_median_gradient_norm,selected_u_norm,selected_V_norm,score_abs_upper_bound,three_way_weight_upper_bound,three_way_weight_lower_bound
STATS_SHORT_73100_1e-04,STATS_SHORT,73100,0.0001,512,0.1813741201904122,0.0,0.16796875,58.67090320319403,604.0498046875,False,,,,,,,,,,
STATS_SHORT_73100_3e-05,STATS_SHORT,73100,3e-05,512,0.21466770892220666,0.0,0.208984375,56.97047201931127,604.1123046875,False,,,,,,,,,,
POOL_73100_1e-04,POOL,73100,0.0001,512,0.18097579777258943,0.0,0.201171875,59.11225623561768,662.52099609375,False,,,,,,,,,,
POOL_73100_3e-05,POOL,73100,3e-05,512,0.21271039837847638,0.0,0.26953125,57.216345015971456,662.52099609375,False,,,,,,,,,,
POOL_KD_73100_1e-04,POOL_KD,73100,0.0001,512,0.1826514887616213,0.03251728647910568,0.2109375,58.17483902387903,662.52099609375,False,,,,,,,,,,
POOL_KD_73100_3e-05,POOL_KD,73100,3e-05,512,0.21270887725404464,0.024424874125543283,0.287109375,59.04784507889417,662.52099609375,False,,,,,,,,,,
LEARN_73100_1e-04,LEARN,73100,0.0001,512,0.18123184055275487,0.0,0.205078125,58.03093317299499,664.86328125,False,,1.0,0.001323045464232564,0.998046875,8.944256842369214e-05,0.012946762934571268,4.001134491254866,0.034420712385326624,0.3488028089969817,0.3182146742625292
LEARN_73100_3e-05,LEARN,73100,3e-05,512,0.2126809523524571,0.0,0.27734375,58.104614614800084,664.86328125,False,,1.0,0.001179067709017545,0.998046875,3.087455843342468e-05,0.004860885412074638,3.988180310794793,0.012752310722135007,0.33902491206021373,0.32768993438059296
LEARN_KD_73100_1e-04,LEARN_KD,73100,0.0001,512,0.18233426771348604,0.032508523916931154,0.20703125,57.990989523008466,664.86328125,False,,1.0,0.0013764689210802317,0.998046875,0.00010400451719760895,0.014501707549101355,4.004657153086148,0.03913666307926178,0.3509482091091182,0.3161719022719694
LEARN_KD_73100_3e-05,LEARN_KD,73100,3e-05,512,0.21269378002398298,0.02442706659940086,0.2890625,57.85460642838734,664.86328125,False,,1.0,0.0012581407208926976,0.998046875,3.079322959820274e-05,0.004608715025350406,3.9879102078476962,0.011985978635493666,0.33868154669390943,0.32802768359299894
STATS_SHORT_73101_1e-04,STATS_SHORT,73101,0.0001,512,0.18019076449309068,0.0,0.177734375,56.651447064155946,604.1123046875,True,256,,,,,,,,,
POOL_73101_1e-04,POOL,73101,0.0001,512,0.17694354868217488,0.0,0.220703125,55.15546579149668,662.52099609375,True,0,,,,,,,,,
POOL_KD_73101_1e-04,POOL_KD,73101,0.0001,512,0.18003059230522922,0.03323279238293253,0.2265625,55.02786747412756,662.52099609375,True,256,,,,,,,,,
LEARN_73101_1e-04,LEARN,73101,0.0001,512,0.17681304105462914,0.0,0.21875,56.55259057227522,664.86328125,True,0,1.0,0.00153009919449687,0.998046875,7.93757317296695e-05,0.0,3.9742001195558965,0.0,0.3333333333333333,0.3333333333333333
LEARN_KD_73101_1e-04,LEARN_KD,73101,0.0001,512,0.1799604555044425,0.033441224893067556,0.21484375,57.53891804628074,664.86328125,True,256,1.0,0.0015997905866242945,0.998046875,8.555189924663864e-05,0.009618315250352767,3.983623986416959,0.0228625068848487,0.3435706810431991,0.32325081302278386
STATS_SHORT_73102_1e-04,STATS_SHORT,73102,0.0001,512,0.17887908417560539,0.0,0.171875,56.83062964663259,604.1123046875,True,0,,,,,,,,,
POOL_73102_1e-04,POOL,73102,0.0001,512,0.1766378198435632,0.0,0.224609375,56.095477246912196,662.52099609375,True,0,,,,,,,,,
POOL_KD_73102_1e-04,POOL_KD,73102,0.0001,512,0.17805695498736895,0.033229239034881175,0.21875,55.820279541105265,662.52099609375,True,256,,,,,,,,,
LEARN_73102_1e-04,LEARN,73102,0.0001,512,0.1765640507255739,0.0,0.224609375,55.49481840408407,664.86328125,True,0,1.0,0.0014913587947376072,0.998046875,7.349254883592948e-05,0.0,3.964651812585586,0.0,0.3333333333333333,0.3333333333333333
LEARN_KD_73102_1e-04,LEARN_KD,73102,0.0001,512,0.1783185440217494,0.03382403635941955,0.2109375,55.042003676935565,664.86328125,True,256,1.0,0.0015757987275719643,0.998046875,7.474970698240213e-05,0.007578361987599111,3.974663313749426,0.019541990870493464,0.3420744897856136,0.32470530529548325
