arm,seed,policy,origin,channel,normalizedMSE
STATS_SHORT,73101,selected,14039,0,0.09462416878665236
STATS_SHORT,73101,selected,14039,1,0.16137771751925467
STATS_SHORT,73101,selected,14039,2,0.10528079722876837
STATS_SHORT,73101,selected,14039,3,0.009730687415007239
STATS_SHORT,73101,selected,14064,0,0.07680931185716845
STATS_SHORT,73101,selected,14064,1,0.2392503562573941
STATS_SHORT,73101,selected,14064,2,0.10092727866648647
STATS_SHORT,73101,selected,14064,3,0.021670574863184366
STATS_SHORT,73101,selected,14136,0,0.00262827567906551
STATS_SHORT,73101,selected,14136,1,0.004792943356206577
STATS_SHORT,73101,selected,14136,2,0.27923162096879667
STATS_SHORT,73101,selected,14136,3,0.007306502389537569
STATS_SHORT,73101,selected,14185,0,0.9641724231946429
STATS_SHORT,73101,selected,14185,1,0.03505562734369313
STATS_SHORT,73101,selected,14185,2,0.4173112864575184
STATS_SHORT,73101,selected,14185,3,0.07790329095790707
STATS_SHORT,73101,selected,14233,0,0.6459788061128791
STATS_SHORT,73101,selected,14233,1,0.9317369019602014
STATS_SHORT,73101,selected,14233,2,0.1169893470684988
STATS_SHORT,73101,selected,14233,3,0.15985701899203442
STATS_SHORT,73101,selected,14305,0,0.004332776910519703
STATS_SHORT,73101,selected,14305,1,0.005069962948529727
STATS_SHORT,73101,selected,14305,2,0.14094126427164275
STATS_SHORT,73101,selected,14305,3,0.09917087493446945
STATS_SHORT,73101,selected,14354,0,0.3907764322895872
STATS_SHORT,73101,selected,14354,1,0.023861869821382584
STATS_SHORT,73101,selected,14354,2,0.19145445201290756
STATS_SHORT,73101,selected,14354,3,0.009711145314846936
STATS_SHORT,73101,selected,14402,0,0.37347476820140163
STATS_SHORT,73101,selected,14402,1,0.14512423113726342
STATS_SHORT,73101,selected,14402,2,0.1547209716119756
STATS_SHORT,73101,selected,14402,3,0.021378524846823423
STATS_SHORT,73101,selected,14451,0,0.5100138472898949
STATS_SHORT,73101,selected,14451,1,0.04567334620061897
STATS_SHORT,73101,selected,14451,2,0.17695618830374094
STATS_SHORT,73101,selected,14451,3,0.37116640303966975
STATS_SHORT,73101,selected,14523,0,0.18568370921358987
STATS_SHORT,73101,selected,14523,1,0.28079911918470896
STATS_SHORT,73101,selected,14523,2,0.2677019392138997
STATS_SHORT,73101,selected,14523,3,0.9159716019220084
STATS_SHORT,73101,selected,14571,0,0.2984209647308748
STATS_SHORT,73101,selected,14571,1,0.1713280132269884
STATS_SHORT,73101,selected,14571,2,0.11139887454174674
STATS_SHORT,73101,selected,14571,3,0.25594453282577123
STATS_SHORT,73101,selected,14620,0,0.003713192023294467
STATS_SHORT,73101,selected,14620,1,0.10638599665957803
STATS_SHORT,73101,selected,14620,2,0.33021807969181693
STATS_SHORT,73101,selected,14620,3,0.35346799068834794
STATS_SHORT,73101,selected,14692,0,0.7538216326200863
STATS_SHORT,73101,selected,14692,1,0.43952456503523313
STATS_SHORT,73101,selected,14692,2,0.514054051737268
STATS_SHORT,73101,selected,14692,3,0.13815375334552504
STATS_SHORT,73101,selected,14740,0,0.6856883797290214
