arm,seed,V_origins,mean_abs_deviation_from_uniform,maximum_abs_deviation,mean_entropy,uniform_entropy
LEARN,73101,32,0.0,0.0,1.0986121892929077,1.0986122886681098
LEARN_KD,73101,32,0.0003351004561409354,0.0009914636611938477,1.09861159324646,1.0986122886681098
LEARN,73102,32,0.0,0.0,1.0986121892929077,1.0986122886681098
LEARN_KD,73102,32,0.00021950413065496832,0.0008490681648254395,1.0986119508743286,1.0986122886681098
