proposed,baseline,seed,proposed_NRMSE,baseline_NRMSE,gain_percent,CI_low,CI_high
LEARN_KD,POOL_KD,73101,0.5837906409788987,0.5845585855204292,0.1313716983297424,-0.0076159760834548056,0.27181483684489094
LEARN_KD,POOL_KD,73102,0.5817757393734584,0.5818248692585747,0.008444101947533008,-0.20581306180169837,0.21827286737764104
LEARN_KD,POOL_KD,MEAN,0.5827831901761785,0.583191727389502,0.07005195618123075,-0.035105878514499186,0.17710119311162806
LEARN_KD,LEARN,73101,0.5837906409788987,0.6049406099341842,3.496205843675562,0.7791128434248388,5.905916397074937
LEARN_KD,LEARN,73102,0.5817757393734584,0.6049406099341842,3.8292801277213107,1.471806189602063,5.887137742609189
LEARN_KD,LEARN,MEAN,0.5827831901761785,0.6049406099341842,3.6627429856984364,1.179738641890275,5.848470390362364
LEARN,POOL,73101,0.6049406099341842,0.6049406099341842,0.0,0.0,0.0
LEARN,POOL,73102,0.6049406099341842,0.6049406099341842,0.0,0.0,0.0
LEARN,POOL,MEAN,0.6049406099341842,0.6049406099341842,0.0,0.0,0.0
POOL_KD,POOL,73101,0.5845585855204292,0.6049406099341842,3.3692603999543915,0.5937348763664905,5.859084911407382
POOL_KD,POOL,73102,0.5818248692585747,0.6049406099341842,3.821158688308995,1.447121169376032,5.896489810845472
POOL_KD,POOL,MEAN,0.583191727389502,0.6049406099341842,3.5952095441316843,1.0689217554319688,5.852145049294216
LEARN_KD,LONG,73101,0.5837906409788987,0.5670342003705425,-2.9551022843782997,-5.627929544154531,-0.24616524905285733
LEARN_KD,LONG,73102,0.5817757393734584,0.565769893815912,-2.8290380475342647,-5.6824043868385825,0.015599377984923923
LEARN_KD,LONG,MEAN,0.5827831901761785,0.5664020470932273,-2.892140515208092,-5.575595295588351,-0.10312497954744075
LEARN_KD,STATS_SHORT,73101,0.5837906409788987,0.5877952797410363,0.681298217281015,-1.783884802846783,3.2154456912249305
LEARN_KD,STATS_SHORT,73102,0.5817757393734584,0.6082539107534631,4.35314445363868,1.4696143035285083,7.161331535418844
LEARN_KD,STATS_SHORT,MEAN,0.5827831901761785,0.5980245952472497,2.548625122143968,0.26505172302184576,4.769927075265322
LEARN_KD,SHORT,73101,0.5837906409788987,0.6088993756964942,4.1236262869993485,1.203053640761651,6.879066365765396
LEARN_KD,SHORT,73102,0.5817757393734584,0.6088993756964942,4.454535085047549,1.7103950896332416,7.043660932642688
LEARN_KD,SHORT,MEAN,0.5827831901761785,0.6088993756964942,4.289080686023449,1.517614089445667,6.957897693740823
LONG,SHORT,73101,0.5670342003705425,0.6088993756964942,6.8755490639260195,3.1159728400581588,10.141361007771852
LONG,SHORT,73102,0.565769893815912,0.6088993756964942,7.0831870752451005,3.375671271624219,10.374685512418585
LONG,SHORT,MEAN,0.5664020470932273,0.6088993756964942,6.9793680695855596,3.2258477683524824,10.235450580411015
STATS_SHORT,SHORT,73101,0.5877952797410363,0.6088993756964942,3.465941467146003,0.18966028936780138,6.3000501252035015
STATS_SHORT,SHORT,73102,0.6082539107534631,0.6088993756964942,0.10600519047876542,-0.5562157905736561,0.730928191535534
STATS_SHORT,SHORT,MEAN,0.5980245952472497,0.6088993756964942,1.7859733288123842,0.03909770554872789,3.3079468673448305
POOL,STATS_SHORT,73101,0.6049406099341842,0.5877952797410363,-2.916888036375791,-5.785450494764188,0.40824843331612726
POOL,STATS_SHORT,73102,0.6049406099341842,0.6082539107534631,0.5447233072738739,-1.0912786362566127,2.1226736572292912
POOL,STATS_SHORT,MEAN,0.6049406099341842,0.5980245952472497,-1.156476630208678,-2.86091991426027,0.8300824617997338
