arm,peak_training_MiB,optimizer_seconds_per512,fits,measurement
SHORT,604.3037109375,48.359639248621534,4,historical_same_recipe
LONG,783.71240234375,48.79883200269978,4,historical_same_recipe
STATS_SHORT,604.0966796875,57.28086298332346,4,current_run
POOL,662.52099609375,56.8948860724995,4,current_run
POOL_KD,662.52099609375,57.01770777950151,4,current_run
LEARN,664.86328125,57.04573919103859,4,current_run
LEARN_KD,664.86328125,57.10662941865303,4,current_run
