dataset,source,budget,seed,arm,candidate_id,step,lr,prediction_file,checkpoint_available,cache_available,duplicate_group,canonical_id
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,0,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_0_V_0.npz,True,True,a1bfcafd7f285b9fd53577c250b85d1751ee018ef8272eb22ad1f24320684274,beijing_32_34000_native_0_step0
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,150,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_0_V_150.npz,True,True,33038be5b5f2b781a5f9c5b39c72870574903f1006032b91c45b81c6cb1bdc84,beijing_32_34000_native_0_step150
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step450,450,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_0_V_450.npz,True,True,dd058a4eaf9fa55c2bf3b0cb0ddced2c33314a08a863fedfc54ed3652ffb262e,beijing_32_34000_native_0_step450
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step900,900,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_0_V_900.npz,True,True,e3bb37ea5a8e234906895ac50aab51d66c1ad385a5bcbc8c68e3ee4b6b0d36f5,beijing_32_34000_native_0_step900
beijing_32,beijing,32,34000,native,beijing_32_34000_native_1_step0,0,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_1_V_0.npz,True,True,a1bfcafd7f285b9fd53577c250b85d1751ee018ef8272eb22ad1f24320684274,beijing_32_34000_native_0_step0
beijing_32,beijing,32,34000,native,beijing_32_34000_native_1_step150,150,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_1_V_150.npz,True,True,a5e48411f97ea034cfeadbac842ce5d7aae0e6fed44700fea185fd5f621b1e5d,beijing_32_34000_native_1_step150
beijing_32,beijing,32,34000,native,beijing_32_34000_native_1_step450,450,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_1_V_450.npz,True,True,3f8075de958e1a04872bc7c0ab10f60e49c228116c1c52b3a53444ea37e20180,beijing_32_34000_native_1_step450
beijing_32,beijing,32,34000,native,beijing_32_34000_native_1_step900,900,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_1_V_900.npz,True,True,4ff68697d8813d4a9696e98d5135e1fdad39308fb5f7758c5d6ef75be090e594,beijing_32_34000_native_1_step900
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step0,0,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_0_V_0.npz,True,True,a1bfcafd7f285b9fd53577c250b85d1751ee018ef8272eb22ad1f24320684274,beijing_32_34000_native_anchor_0_step0
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step150,150,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_0_V_150.npz,True,True,b882736220f1c74cc3bd023cbf12fd91de3155206719e866fa310b372a974b43,beijing_32_34000_native_anchor_0_step150
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step450,450,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_0_V_450.npz,True,True,da5eb29b1c8ee1d5d9a603a6a0b3f2708e855b1a69302cc007ce5f542d47a98a,beijing_32_34000_native_anchor_0_step450
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step900,900,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_0_V_900.npz,True,True,b9aa70de57b5b837b570bc7c42a3a6edac0dc3ab08e73e676ca5c9a1f3f32f07,beijing_32_34000_native_anchor_0_step900
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_1_step0,0,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_1_V_0.npz,True,True,a1bfcafd7f285b9fd53577c250b85d1751ee018ef8272eb22ad1f24320684274,beijing_32_34000_native_anchor_0_step0
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_1_step150,150,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_1_V_150.npz,True,True,0e82116fb42539f3c69bc37b35f167f77cc70f5c717810e726916b8ed84c1c3a,beijing_32_34000_native_anchor_1_step150
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_1_step450,450,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_1_V_450.npz,True,True,d444708ef0c8a8ab96530d0186e9524e9e01e0e8a2a5a41bbce164197eea48b3,beijing_32_34000_native_anchor_1_step450
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_1_step900,900,0.0001,.cache/anchor_window_study_20260914/anchor/beijing_32_34000_native_anchor_1_V_900.npz,True,True,9d86bacc135b65d76e7925742fd8a5af5b871d2948a92de728b37a7204ffbeab,beijing_32_34000_native_anchor_1_step900
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step0,0,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34001_native_0_V_0.npz,True,True,a1bfcafd7f285b9fd53577c250b85d1751ee018ef8272eb22ad1f24320684274,beijing_32_34001_native_0_step0
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step150,150,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34001_native_0_V_150.npz,True,True,7e7f75711109d48810cc3e94f4f2a4513d4d9d469f0820e62f0748c1daa935c5,beijing_32_34001_native_0_step150
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step450,450,3e-05,.cache/anchor_window_study_20260914/anchor/beijing_32_34001_native_0_V_450.npz,True,True,6f0913b48cb599efd7746cf25214dee5521767536c6e9c0260aabbeeeda724fb,beijing_32_34001_native_0_step450
