dataset,source,budget,seed,arm,rule,candidate_id,step,lr,selection_n_origins,selection_loss,selection_gain_vs_f0_percent,S_loss,D_loss,F0_S,F0_D,S_gain_vs_f0_percent,D_gain_vs_f0_percent,D_loss_difference_vs_f0,D_front4_loss,D_back4_loss,D_front4_gain_percent,D_back4_gain_percent,S_valid_targets,D_valid_targets,D_front4_valid_targets,D_back4_valid_targets,S_improves_D_worsens
beijing_32,beijing,32,34000,native,FROZEN,F0,0,0.0,8,0.2235576123938318,0.0,0.2235576123938318,0.2337798431647763,0.2235576123938318,0.2337798431647763,0.0,0.0,0.0,0.23888881743076446,0.22866385926459287,0.0,0.0,1425,1535,768,767,False
beijing_32,beijing,32,34000,native,FIXED,beijing_32_34000_native_0_step150,150,3e-05,8,0.2153266673738801,3.6818003787997147,0.2153266673738801,0.23138308493254983,0.2235576123938318,0.2337798431647763,3.6818003787997147,1.0252202241992006,-0.002396758232226459,0.2338252835857786,0.2289509349792258,2.1196194528667704,-0.12554485678506422,1425,1535,768,767,False
beijing_32,beijing,32,34000,native,RECENT4,beijing_32_34000_native_0_step150,150,3e-05,4,0.21760602798873635,7.861801727805903,0.2153266673738801,0.23138308493254983,0.2235576123938318,0.2337798431647763,3.6818003787997147,1.0252202241992006,-0.002396758232226459,0.2338252835857786,0.2289509349792258,2.1196194528667704,-0.12554485678506422,1425,1535,768,767,False
beijing_32,beijing,32,34000,native,SPREAD4,beijing_32_34000_native_0_step150,150,3e-05,4,0.21088177774776926,6.542746417547873,0.2153266673738801,0.23138308493254983,0.2235576123938318,0.2337798431647763,3.6818003787997147,1.0252202241992006,-0.002396758232226459,0.2338252835857786,0.2289509349792258,2.1196194528667704,-0.12554485678506422,1425,1535,768,767,False
beijing_32,beijing,32,34000,native,ALL8,beijing_32_34000_native_0_step150,150,3e-05,8,0.2153266673738801,3.6818003787997147,0.2153266673738801,0.23138308493254983,0.2235576123938318,0.2337798431647763,3.6818003787997147,1.0252202241992006,-0.002396758232226459,0.2338252835857786,0.2289509349792258,2.1196194528667704,-0.12554485678506422,1425,1535,768,767,False
beijing_32,beijing,32,34000,native_anchor,FROZEN,F0,0,0.0,8,0.2235576123938318,0.0,0.2235576123938318,0.2337798431647763,0.2235576123938318,0.2337798431647763,0.0,0.0,0.0,0.23888881743076446,0.22866385926459287,0.0,0.0,1425,1535,768,767,False
beijing_32,beijing,32,34000,native_anchor,FIXED,beijing_32_34000_native_anchor_0_step150,150,3e-05,8,0.2145680276697837,4.021149012904795,0.2145680276697837,0.2300735372132541,0.2235576123938318,0.2337798431647763,4.021149012904795,1.5853830259052113,-0.0037063059515221874,0.23127774221871084,0.2288782640091639,3.186032437143897,-0.0937641589976508,1425,1535,768,767,False
beijing_32,beijing,32,34000,native_anchor,RECENT4,beijing_32_34000_native_anchor_0_step150,150,3e-05,4,0.21814090876376738,7.635323852366053,0.2145680276697837,0.2300735372132541,0.2235576123938318,0.2337798431647763,4.021149012904795,1.5853830259052113,-0.0037063059515221874,0.23127774221871084,0.2288782640091639,3.186032437143897,-0.0937641589976508,1425,1535,768,767,False
beijing_32,beijing,32,34000,native_anchor,SPREAD4,beijing_32_34000_native_anchor_0_step150,150,3e-05,4,0.21178225871704195,6.143676952228073,0.2145680276697837,0.2300735372132541,0.2235576123938318,0.2337798431647763,4.021149012904795,1.5853830259052113,-0.0037063059515221874,0.23127774221871084,0.2288782640091639,3.186032437143897,-0.0937641589976508,1425,1535,768,767,False
beijing_32,beijing,32,34000,native_anchor,ALL8,beijing_32_34000_native_anchor_0_step150,150,3e-05,8,0.2145680276697837,4.021149012904795,0.2145680276697837,0.2300735372132541,0.2235576123938318,0.2337798431647763,4.021149012904795,1.5853830259052113,-0.0037063059515221874,0.23127774221871084,0.2288782640091639,3.186032437143897,-0.0937641589976508,1425,1535,768,767,False
