dataset,source,budget,seed,arm,checkpoint_id,S_selected_alpha,D_loss,F0_D,R2_original_D,D_gain_vs_original_percent,D_difference_vs_original,D_gain_vs_f0_percent,D_posthoc_oracle_alpha,D_posthoc_oracle_loss,interior_shrink_beats_original_and_F0,no_alpha_beats_F0
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,1.0,0.23138308493254983,0.2337798431647763,0.23138308493254983,0.0,0.0,1.0252202241992006,0.5,0.22975256728364613,False,False
beijing_32,beijing,32,34000,native_anchor,beijing_32_34000_native_anchor_0_step150,1.0,0.2300735372132541,0.2337798431647763,0.2300735372132541,0.0,0.0,1.5853830259052113,0.75,0.22976794742367312,False,False
beijing_32,beijing,32,34001,native,beijing_32_34001_native_0_step150,1.0,0.2342798160749428,0.2337798431647763,0.2342798160749428,0.0,0.0,-0.2138648496800104,0.5,0.23214399679199638,False,False
beijing_32,beijing,32,34001,native_anchor,beijing_32_34001_native_anchor_1_step150,0.75,0.23842420927125835,0.2337798431647763,0.2475810007316313,3.6985032911707894,-0.00915679146037296,-1.9866409539887249,0.25,0.23168671985596972,False,False
beijing_233,beijing,233,34000,native,beijing_233_34000_native_1_step450,1.0,0.22918258120151686,0.2337798431647763,0.22918258120151686,0.0,0.0,1.9664920213070394,0.5,0.22342451247186362,False,False
beijing_233,beijing,233,34000,native_anchor,beijing_233_34000_native_anchor_1_step450,1.0,0.2219989241289117,0.2337798431647763,0.2219989241289117,0.0,0.0,5.039321986182094,0.75,0.22087640362617916,False,False
beijing_233,beijing,233,34001,native,beijing_233_34001_native_1_step450,0.5,0.21861314679317112,0.2337798431647763,0.22663996220963772,3.541659351779255,-0.008026815416466604,6.487597975209157,0.5,0.21861314679317112,True,False
beijing_233,beijing,233,34001,native_anchor,beijing_233_34001_native_anchor_1_step450,0.75,0.2179194346163903,0.2337798431647763,0.21959950152426383,0.7650595270991093,-0.0016800669078735342,6.784335353158322,0.75,0.2179194346163903,True,False
ettm2_later_32,ettm2_later,32,34000,native,ettm2_later_32_34000_native_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
ettm2_later_32,ettm2_later,32,34000,native_anchor,ettm2_later_32_34000_native_anchor_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
ettm2_later_32,ettm2_later,32,34001,native,ettm2_later_32_34001_native_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
ettm2_later_32,ettm2_later,32,34001,native_anchor,ettm2_later_32_34001_native_anchor_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
ettm2_later_233,ettm2_later,233,34000,native,ettm2_later_233_34000_native_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
ettm2_later_233,ettm2_later,233,34000,native_anchor,ettm2_later_233_34000_native_anchor_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
ettm2_later_233,ettm2_later,233,34001,native,ettm2_later_233_34001_native_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
ettm2_later_233,ettm2_later,233,34001,native_anchor,ettm2_later_233_34001_native_anchor_0_step0,0.0,0.1731747232073473,0.1731747232073473,0.1731747232073473,0.0,0.0,0.0,0.0,0.1731747232073473,False,True
electricity_new_32,electricity_new,32,34000,native,electricity_new_32_34000_native_0_step150,1.0,0.12016908070730167,0.11940146822492492,0.12016908070730167,0.0,0.0,-0.6428836209373447,0.25,0.11922793895663045,False,False
electricity_new_32,electricity_new,32,34000,native_anchor,electricity_new_32_34000_native_anchor_0_step150,1.0,0.11966135601645192,0.11940146822492492,0.11966135601645192,0.0,0.0,-0.21765879045760825,0.25,0.11936536207058823,False,False
electricity_new_32,electricity_new,32,34001,native,electricity_new_32_34001_native_0_step150,1.0,0.11932989149567289,0.11940146822492492,0.11932989149567289,0.0,0.0,0.05994627228302034,0.5,0.11885297611261858,False,False
electricity_new_32,electricity_new,32,34001,native_anchor,electricity_new_32_34001_native_anchor_0_step150,1.0,0.11906896813612691,0.11940146822492492,0.11906896813612691,0.0,0.0,0.27847236197435726,0.75,0.11903020537862968,False,False
electricity_new_233,electricity_new,233,34000,native,electricity_new_233_34000_native_0_step450,1.0,0.11882887865975922,0.11940146822492492,0.11882887865975922,0.0,0.0,0.47954985284358237,0.75,0.11863961231230141,False,False
electricity_new_233,electricity_new,233,34000,native_anchor,electricity_new_233_34000_native_anchor_0_step450,1.0,0.11895961132032376,0.11940146822492492,0.11895961132032376,0.0,0.0,0.3700598587019092,1.0,0.11895961132032376,False,False
electricity_new_233,electricity_new,233,34001,native,electricity_new_233_34001_native_1_step450,0.5,0.11844582329832562,0.11940146822492492,0.11974623716079126,1.0859747189546243,-0.0013004138624656408,0.8003627935287089,0.5,0.11844582329832562,True,False
electricity_new_233,electricity_new,233,34001,native_anchor,electricity_new_233_34001_native_anchor_1_step450,0.75,0.11861792020221237,0.11940146822492492,0.11878271161303397,0.13873349798449452,-0.00016479141082159643,0.6562298055133834,0.75,0.11861792020221237,True,False
