dataset,source,budget,seed,arm,candidate_id,origin,channel,scaled_quantile_mean_pinball_numerator,valid_target_count,train_scale,quantile_count,active
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,11808,1,22.565743031663104,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,11808,2,7.322695082130207,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,11808,3,11.958593448429477,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,11904,0,10.388213469857666,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,11904,1,8.138788111095787,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,11904,2,5.2342706921640145,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,11904,3,5.7032252162458645,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12000,0,20.401381074755218,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12000,1,14.867431907533998,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12000,2,7.972622509130145,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12000,3,23.853883562972356,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12096,0,7.288240837955991,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12096,1,16.344027770193527,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12096,2,8.340254354622573,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12096,3,18.888693505953565,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12192,0,7.136330042046329,47,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12192,1,9.26431608428977,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12192,2,3.84641151687607,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step0,12192,3,7.709029880328006,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10752,0,12.149542493142174,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10752,1,10.092961829795138,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10752,2,4.695344237827333,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10752,3,4.805377695958347,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10848,0,12.749263762963444,44,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10848,1,5.621115362859311,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10848,2,13.064323269583136,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10848,3,9.482065791085168,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10944,0,20.60838907211418,43,91.44184586689721,21,True
