dataset,seed,plain_loss,anchor_loss,corrected_gain_percent,old_ratio_percent
beijing_32,34000,0.2105153616590959,0.2099615996407505,0.2630506457966447,99.73694935420336
beijing_32,34001,0.21049452875220526,0.21028449044747408,0.09978326086491214,99.90021673913509
beijing_233,34000,0.21634178155426229,0.21017693885234523,2.8495848825996686,97.15041511740033
beijing_233,34001,0.22390999915129134,0.2117055386750775,5.450609853277497,94.5493901467225
ettm2_later_32,34000,0.1292031730692813,0.1292031730692813,0.0,100.0
ettm2_later_32,34001,0.1292031730692813,0.1292031730692813,0.0,100.0
ettm2_later_233,34000,0.1292031730692813,0.1292031730692813,0.0,100.0
ettm2_later_233,34001,0.1292031730692813,0.1292031730692813,0.0,100.0
electricity_new_32,34000,0.21985828609476793,0.22047611183093946,-0.2810108944018697,100.28101089440187
electricity_new_32,34001,0.21902755060743123,0.21938170887416047,-0.16169576190166604,100.16169576190165
electricity_new_233,34000,0.22165502304781973,0.22381538323789169,-0.9746497780047526,100.97464977800476
electricity_new_233,34001,0.22013193119307467,0.22313010595787108,-1.3619899432794034,101.36198994327941
