budget_gib,status,reason
1,NOT_MEASURED,GPU_STARTUP_BLOCKED
2,NOT_MEASURED,GPU_STARTUP_BLOCKED
4,NOT_MEASURED,GPU_STARTUP_BLOCKED
8,NOT_MEASURED,GPU_STARTUP_BLOCKED
