config,arm,train_episodes,validation_episode,alpha,MAE_K,train_rows,validation_origins,n_features
ZONE_60M,CURRENT_PLAN,0,1,0.01,0.10458402221117392,22,22,46
ZONE_60M,CURRENT_PLAN,0,1,0.1,0.1160591176901254,22,22,46
ZONE_60M,CURRENT_PLAN,0,1,1.0,0.12561652273738155,22,22,46
ZONE_60M,CURRENT_PLAN,0,1,10.0,0.16924892946760714,22,22,46
ZONE_60M,CURRENT_PLAN,0,1,100.0,0.9755904408486709,22,22,46
ZONE_60M,CURRENT_PLAN,0,1,1000.0,2.6685526556694086,22,22,46
ZONE_60M,CURRENT_PLAN,0,1,10000.0,3.2281290146451305,22,22,46
ZONE_60M,CURRENT_PLAN,"0,1",2,0.01,0.11393262196033975,44,22,46
ZONE_60M,CURRENT_PLAN,"0,1",2,0.1,0.08911956621055228,44,22,46
ZONE_60M,CURRENT_PLAN,"0,1",2,1.0,0.10611442180876131,44,22,46
ZONE_60M,CURRENT_PLAN,"0,1",2,10.0,0.18470783321558165,44,22,46
ZONE_60M,CURRENT_PLAN,"0,1",2,100.0,0.1797852652855708,44,22,46
ZONE_60M,CURRENT_PLAN,"0,1",2,1000.0,0.28045076399131935,44,22,46
ZONE_60M,CURRENT_PLAN,"0,1",2,10000.0,0.44824305746949,44,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2",3,0.01,0.061850573797605425,66,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2",3,0.1,0.068024520363281,66,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2",3,1.0,0.10165398631581207,66,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2",3,10.0,0.2151534104348587,66,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2",3,100.0,0.4878303802676012,66,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2",3,1000.0,1.9986293576902014,66,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2",3,10000.0,3.3269202010325025,66,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2,3",4,0.01,0.043570751591838375,88,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2,3",4,0.1,0.04509703833125978,88,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2,3",4,1.0,0.05221192295966813,88,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2,3",4,10.0,0.06549141323829606,88,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2,3",4,100.0,0.1578996931055216,88,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2,3",4,1000.0,0.47858240396842194,88,22,46
ZONE_60M,CURRENT_PLAN,"0,1,2,3",4,10000.0,0.5106283034913317,88,22,46
ZONE_60M,HISTORY_SUMMARY_PLAN,0,1,0.01,0.899842694643861,22,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,0,1,0.1,0.8241561958134307,22,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,0,1,1.0,0.8935983029976496,22,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,0,1,10.0,1.0620974269912324,22,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,0,1,100.0,1.57171753128402,22,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,0,1,1000.0,2.7274508693142967,22,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,0,1,10000.0,3.2288586786693663,22,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,"0,1",2,0.01,0.14334169195555202,44,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,"0,1",2,0.1,0.10490957546353008,44,22,63
ZONE_60M,HISTORY_SUMMARY_PLAN,"0,1",2,1.0,0.13393286637453605,44,22,63
