config,arm,train_episodes,validation_episode,alpha,MAE_K,train_rows,validation_origins,n_features
SUPPLY_30M,CURRENT_PLAN,0,1,0.01,0.7759386539996999,129,129,140
SUPPLY_30M,CURRENT_PLAN,0,1,0.1,0.8179199209753265,129,129,140
SUPPLY_30M,CURRENT_PLAN,0,1,1.0,0.9962392837713485,129,129,140
SUPPLY_30M,CURRENT_PLAN,0,1,10.0,1.4263683772172568,129,129,140
SUPPLY_30M,CURRENT_PLAN,0,1,100.0,1.9233045962133481,129,129,140
SUPPLY_30M,CURRENT_PLAN,0,1,1000.0,2.756637407134434,129,129,140
SUPPLY_30M,CURRENT_PLAN,0,1,10000.0,3.3822081665170307,129,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1",2,0.01,0.2828517541811881,258,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1",2,0.1,0.28913532672218095,258,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1",2,1.0,0.2970451746601936,258,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1",2,10.0,0.32616087506829416,258,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1",2,100.0,0.43424166902875483,258,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1",2,1000.0,0.646576717764686,258,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1",2,10000.0,1.39958155851123,258,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2",3,0.01,0.4694037400731534,387,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2",3,0.1,0.47015147107217403,387,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2",3,1.0,0.4748674631452349,387,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2",3,10.0,0.5121017280098196,387,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2",3,100.0,0.9291876905865316,387,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2",3,1000.0,1.7458455391567602,387,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2",3,10000.0,2.894362031254215,387,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2,3",4,0.01,0.23719835293481853,516,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2,3",4,0.1,0.2387301956664688,516,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2,3",4,1.0,0.24128255803705081,516,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2,3",4,10.0,0.24581236528668854,516,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2,3",4,100.0,0.3393865958724647,516,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2,3",4,1000.0,0.5425990663430863,516,129,140
SUPPLY_30M,CURRENT_PLAN,"0,1,2,3",4,10000.0,1.320216442981895,516,129,140
SUPPLY_30M,HISTORY_SUMMARY_PLAN,0,1,0.01,0.649058303048391,129,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,0,1,0.1,0.7821598159945732,129,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,0,1,1.0,1.1802957663828193,129,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,0,1,10.0,1.5911216609382064,129,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,0,1,100.0,2.0690227577261884,129,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,0,1,1000.0,2.823804131269062,129,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,0,1,10000.0,3.389046193945816,129,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1",2,0.01,0.282917612449805,258,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1",2,0.1,0.2851672668670058,258,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1",2,1.0,0.2904222620349849,258,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1",2,10.0,0.324315959121744,258,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1",2,100.0,0.41986149367157966,258,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1",2,1000.0,0.6345450878964901,258,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1",2,10000.0,1.3906901465276673,258,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2",3,0.01,0.4613013195163464,387,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2",3,0.1,0.4737213419865037,387,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2",3,1.0,0.475833945742966,387,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2",3,10.0,0.5274206887651586,387,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2",3,100.0,0.863180365994061,387,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2",3,1000.0,1.7431548092898206,387,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2",3,10000.0,2.8915919221735122,387,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,0.01,0.2799611109183165,516,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,0.1,0.27767221638043565,516,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,1.0,0.2754544185346783,516,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,10.0,0.27510329759353563,516,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,100.0,0.3336409768351997,516,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,1000.0,0.5234679128413394,516,129,152
SUPPLY_30M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,10000.0,1.3018590374615457,516,129,152
SUPPLY_30M,HISTORY_LAGS_PLAN,0,1,0.01,1.1112867824937613,129,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,0,1,0.1,1.1145443868155438,129,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,0,1,1.0,1.1885050042472913,129,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,0,1,10.0,1.5464520903243149,129,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,0,1,100.0,2.3086608164859554,129,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,0,1,1000.0,3.1328423881129464,129,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,0,1,10000.0,3.527925845031458,129,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1",2,0.01,0.2958347309235658,258,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1",2,0.1,0.2946872606690725,258,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1",2,1.0,0.29458286495569475,258,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1",2,10.0,0.3089970703957053,258,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1",2,100.0,0.39803614391101716,258,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1",2,1000.0,0.6724094605666622,258,129,620
