config,arm,train_episodes,validation_episode,alpha,MAE_K,train_rows,validation_origins,n_features
ZONE_120M,HISTORY_SUMMARY_PLAN,"0,1,2,3",4,10000.0,0.5280140640577755,80,20,87
ZONE_120M,HISTORY_LAGS_PLAN,0,1,0.01,2.6025154940284922,20,20,358
ZONE_120M,HISTORY_LAGS_PLAN,0,1,0.1,2.602773901953389,20,20,358
ZONE_120M,HISTORY_LAGS_PLAN,0,1,1.0,2.6052021255146878,20,20,358
ZONE_120M,HISTORY_LAGS_PLAN,0,1,10.0,2.622565399634581,20,20,358
ZONE_120M,HISTORY_LAGS_PLAN,0,1,100.0,2.717722647690393,20,20,358
ZONE_120M,HISTORY_LAGS_PLAN,0,1,1000.0,3.038794267305901,20,20,358
ZONE_120M,HISTORY_LAGS_PLAN,0,1,10000.0,3.294396998488415,20,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1",2,0.01,0.6095686401707563,40,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1",2,0.1,0.6078127572080523,40,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1",2,1.0,0.602217872039207,40,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1",2,10.0,0.5883136353894075,40,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1",2,100.0,0.49491629210449517,40,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1",2,1000.0,0.3035779241567807,40,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1",2,10000.0,0.37415011807852977,40,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2",3,0.01,0.582341118643065,60,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2",3,0.1,0.6109860310502959,60,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2",3,1.0,0.7148996685664024,60,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2",3,10.0,0.8133536181169975,60,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2",3,100.0,1.239131730506389,60,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2",3,1000.0,2.628650312298298,60,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2",3,10000.0,3.466409606366329,60,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2,3",4,0.01,0.3030956400871599,80,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2,3",4,0.1,0.2052459944353218,80,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2,3",4,1.0,0.2126277410883675,80,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2,3",4,10.0,0.40627823449092093,80,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2,3",4,100.0,0.3643427140470222,80,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2,3",4,1000.0,0.5393670231514353,80,20,358
ZONE_120M,HISTORY_LAGS_PLAN,"0,1,2,3",4,10000.0,0.4966020229817983,80,20,358
