arm,variant,scaled_2pinball,median_mae,qmean_mse,interval80_coverage,interval80_width,worst5_origin_loss,receipt
F0,issued_completed_stream,0.5838571069542349,2.9852467222760124,16.890077483965634,0.7595486111111112,8.4159925305595,0.98552917600794,replayed from saved predictions after candidate abort
IMMEDIATE_LORA,issued_completed_stream,0.6467702002324903,3.16504649395744,20.37034018968799,0.6546875,7.567794226606686,1.2403347962004347,replayed from saved predictions after candidate abort
WAIT_FULL,issued_completed_stream,0.6624827902964064,3.276563878564371,21.41763480550465,0.6810763888888889,8.172622834394376,1.2508906257406278,replayed from saved predictions after candidate abort
