arm,origin,updates,last_update_loss,available_label_end,source
IMMEDIATE_LORA,1560,8,2.5208353996276855,1559,preserved worker stdout
IMMEDIATE_LORA,1584,16,4.104371070861816,1583,preserved worker stdout
IMMEDIATE_LORA,1608,24,4.575006484985352,1607,preserved worker stdout
IMMEDIATE_LORA,1632,32,6.404291152954102,1631,preserved worker stdout
IMMEDIATE_LORA,1656,40,3.6154897212982178,1655,preserved worker stdout
IMMEDIATE_LORA,1680,48,3.0503764152526855,1679,preserved worker stdout
IMMEDIATE_LORA,1704,56,2.073509693145752,1703,preserved worker stdout
IMMEDIATE_LORA,1728,64,2.6501970291137695,1727,preserved worker stdout
IMMEDIATE_LORA,1752,72,3.4926748275756836,1751,preserved worker stdout
IMMEDIATE_LORA,1776,80,3.313235282897949,1775,preserved worker stdout
IMMEDIATE_LORA,1800,88,3.4725394248962402,1799,preserved worker stdout
IMMEDIATE_LORA,1824,96,2.8929443359375,1823,preserved worker stdout
IMMEDIATE_LORA,1848,104,3.1592626571655273,1847,preserved worker stdout
IMMEDIATE_LORA,1872,112,2.275695562362671,1871,preserved worker stdout
IMMEDIATE_LORA,1896,120,2.287652015686035,1895,preserved worker stdout
IMMEDIATE_LORA,1920,128,3.808621406555176,1919,preserved worker stdout
IMMEDIATE_LORA,1944,136,4.60276460647583,1943,preserved worker stdout
IMMEDIATE_LORA,1968,144,5.6089324951171875,1967,preserved worker stdout
IMMEDIATE_LORA,1992,152,3.31038761138916,1991,preserved worker stdout
IMMEDIATE_LORA,2016,160,2.879060745239258,2015,preserved worker stdout
IMMEDIATE_LORA,2040,168,2.3741648197174072,2039,preserved worker stdout
IMMEDIATE_LORA,2064,176,1.7190253734588623,2063,preserved worker stdout
IMMEDIATE_LORA,2088,184,2.279148578643799,2087,preserved worker stdout
IMMEDIATE_LORA,2112,192,2.3892555236816406,2111,preserved worker stdout
IMMEDIATE_LORA,2136,200,2.9574780464172363,2135,preserved worker stdout
IMMEDIATE_LORA,2160,208,2.0103888511657715,2159,preserved worker stdout
IMMEDIATE_LORA,2184,216,2.45454478263855,2183,preserved worker stdout
IMMEDIATE_LORA,2208,224,4.795180797576904,2207,preserved worker stdout
IMMEDIATE_LORA,2232,232,4.1096510887146,2231,preserved worker stdout
WAIT_FULL,1584,8,6.992150783538818,1583,preserved worker stdout
WAIT_FULL,1608,16,5.3782243728637695,1607,preserved worker stdout
WAIT_FULL,1632,24,10.726415634155273,1631,preserved worker stdout
WAIT_FULL,1656,32,6.1324462890625,1655,preserved worker stdout
WAIT_FULL,1680,40,4.607276439666748,1679,preserved worker stdout
WAIT_FULL,1704,48,3.0728890895843506,1703,preserved worker stdout
WAIT_FULL,1728,56,3.607583522796631,1727,preserved worker stdout
WAIT_FULL,1752,64,5.553387641906738,1751,preserved worker stdout
WAIT_FULL,1776,72,4.444281101226807,1775,preserved worker stdout
WAIT_FULL,1800,80,6.874614715576172,1799,preserved worker stdout
WAIT_FULL,1824,88,4.746974468231201,1823,preserved worker stdout
WAIT_FULL,1848,96,5.835684776306152,1847,preserved worker stdout
WAIT_FULL,1872,104,3.546363353729248,1871,preserved worker stdout
WAIT_FULL,1896,112,3.9841957092285156,1895,preserved worker stdout
WAIT_FULL,1920,120,5.005823135375977,1919,preserved worker stdout
WAIT_FULL,1944,128,10.472784042358398,1943,preserved worker stdout
WAIT_FULL,1968,136,9.067030906677246,1967,preserved worker stdout
WAIT_FULL,1992,144,8.119976997375488,1991,preserved worker stdout
WAIT_FULL,2016,152,4.821502208709717,2015,preserved worker stdout
WAIT_FULL,2040,160,3.759819746017456,2039,preserved worker stdout
WAIT_FULL,2064,168,3.3832755088806152,2063,preserved worker stdout
WAIT_FULL,2088,176,3.2533562183380127,2087,preserved worker stdout
WAIT_FULL,2112,184,4.893449783325195,2111,preserved worker stdout
WAIT_FULL,2136,192,4.029182434082031,2135,preserved worker stdout
WAIT_FULL,2160,200,4.515081405639648,2159,preserved worker stdout
WAIT_FULL,2184,208,3.6836352348327637,2183,preserved worker stdout
WAIT_FULL,2208,216,4.788872718811035,2207,preserved worker stdout
WAIT_FULL,2232,224,6.644775390625,2231,preserved worker stdout
