arm,lr,recipe,execution
F0,0,sealed before E,completed
IMMEDIATE_LORA,0.0001,sealed before E,completed
WAIT_FULL,0.0001,sealed before E,completed
TAFAS_LIKE,0.0001,sealed before E,failed
MATURITY_PEFT,0.0001,sealed before E,not started
